1,Multistorey (CP1),1,off Collins Ave,8,22,750,17,"53.386284, -6.256948",0,1
2,Creche (CP2),1,off Ballymun Road,7,22,206,3,"53.3868703,-6.2613046",1,0
3,Invent (CP3),1,next to Invent,8,22,100,2,"53.3847294,-6.2541186",1,0
4,Library (CP4),1,next to DCU Library,8,21,98,6,"53.384178,-6.2549963",1,0
5,St Pats CP,2,off Drumcondra Road,8,20,67,55,"53.3704012,-6.256567",0,1
6,DCU Alpha CP,3,off Old Finglas Road,8,18,50,4,"53.3764629,-6.2728717",0,0
7,All Hallows CP,4,off Grace Park Road,8,17,50,4,"53.369901, -6.248072",0,1
